,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,From_OSMID,To_OSMID,Adj_Mat_id,WktGeom,street,fromSt,toSt,Direction
82,8542,Manhattan,2012,6,27,11,15,45,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
83,8542,Manhattan,2012,6,27,11,0,43,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
84,8542,Manhattan,2012,6,27,8,30,57,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
85,8542,Manhattan,2012,6,27,5,45,68,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
86,8542,Manhattan,2012,6,27,6,15,74,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
87,8542,Manhattan,2012,6,27,6,0,73,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
88,8542,Manhattan,2012,6,27,9,15,49,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
89,8542,Manhattan,2012,6,27,9,0,53,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
90,8542,Manhattan,2012,6,27,8,45,48,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
91,8542,Manhattan,2012,6,26,18,0,8,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
92,19692,Manhattan,2015,3,31,2,30,71,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
93,19692,Manhattan,2015,3,31,2,45,50,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
94,19692,Manhattan,2015,3,31,3,0,47,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
95,19692,Manhattan,2015,3,31,3,15,60,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
96,19692,Manhattan,2015,3,31,3,30,38,34502,42437384,42443332,155,POINT (-73.9795433562569 40.776377461346414),COLUMBUS AVENUE,West 70 Street,West 71 Street,SB
